,season,name,shoots,position,salary
0,2000-01,Mahmoud Abdul-Rauf,Right,Point Guard,798500
1,1999-00,Tariq Abdul-Wahad,Right,Shooting Guard,1594920
2,2000-01,Tariq Abdul-Wahad,Right,Shooting Guard,4500000
3,2001-02,Tariq Abdul-Wahad,Right,Shooting Guard,5062500
4,2002-03,Tariq Abdul-Wahad,Right,Shooting Guard,5625000
5,2003-04,Tariq Abdul-Wahad,Right,Shooting Guard,6187500
6,2004-05,Tariq Abdul-Wahad,Right,Shooting Guard,6750000
7,2005-06,Tariq Abdul-Wahad,Right,Shooting Guard,3656250
8,2006-07,Tariq Abdul-Wahad,Right,Shooting Guard,1968750
9,1999-00,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,9000000
10,2000-01,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,10130000
11,2001-02,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,11250000
12,2002-03,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,12375000
13,2003-04,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,13500000
14,2004-05,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,14625000
15,2005-06,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,5000000
16,2006-07,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,5400000
17,2007-08,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,5800000
18,2009-10,Shareef Abdur-Rahim,Right,Center and Small Forward and Power Forward,6600000
19,2016-17,Alex Abrines,Right,Shooting Guard,5994764
20,2017-18,Alex Abrines,Right,Shooting Guard,5725000
21,2005-06,Alex Acker,Right,Shooting Guard,398762
22,2006-07,Alex Acker,Right,Shooting Guard,839209
23,2008-09,Alex Acker,Right,Shooting Guard,711517
24,2012-13,Quincy Acy,Right,Power Forward and Small Forward,665000
25,2013-14,Quincy Acy,Right,Power Forward and Small Forward,788872
26,2014-15,Quincy Acy,Right,Power Forward and Small Forward,915243
27,2015-16,Quincy Acy,Right,Power Forward and Small Forward,981348
28,2016-17,Quincy Acy,Right,Power Forward and Small Forward,1914544
29,2016-17,Quincy Acy,Right,Power Forward and Small Forward,1050961
30,2017-18,Quincy Acy,Right,Power Forward and Small Forward,1709538
31,2006-07,Hassan Adams,Right,Shooting Guard,412718
32,2008-09,Hassan Adams,Right,Shooting Guard,297163
33,2014-15,Jordan Adams,Right,Shooting Guard,1344120
34,2015-16,Jordan Adams,Right,Shooting Guard,1404600
35,2016-17,Jordan Adams,Right,Shooting Guard,1465080
36,2013-14,Steven Adams,Right,Center,2090880
37,2014-15,Steven Adams,Right,Center,2184960
38,2015-16,Steven Adams,Right,Center,2279040
39,2016-17,Steven Adams,Right,Center,3140517
40,2017-18,Steven Adams,Right,Center,22471910
41,2017-18,Bam Adebayo,Right,Center,2490360
42,2010-11,Jeff Adrien,Right,Power Forward,342666
43,2011-12,Jeff Adrien,Right,Power Forward,270427
44,2012-13,Jeff Adrien,Right,Power Forward,804131
45,2013-14,Jeff Adrien,Right,Power Forward,916099
46,2014-15,Jeff Adrien,Right,Power Forward,981084
47,2007-08,Arron Afflalo,Right,Shooting Guard and Small Forward,944520
48,2008-09,Arron Afflalo,Right,Shooting Guard and Small Forward,1015440
49,2009-10,Arron Afflalo,Right,Shooting Guard and Small Forward,1086240
50,2010-11,Arron Afflalo,Right,Shooting Guard and Small Forward,1959577
51,2011-12,Arron Afflalo,Right,Shooting Guard and Small Forward,7562500
52,2012-13,Arron Afflalo,Right,Shooting Guard and Small Forward,7750000
53,2013-14,Arron Afflalo,Right,Shooting Guard and Small Forward,7312500
54,2014-15,Arron Afflalo,Right,Shooting Guard and Small Forward,7750000
55,2015-16,Arron Afflalo,Right,Shooting Guard and Small Forward,8000000
56,2016-17,Arron Afflalo,Right,Shooting Guard and Small Forward,12500000
57,2017-18,Arron Afflalo,Right,Shooting Guard and Small Forward,1500000
58,2017-18,Arron Afflalo,Right,Shooting Guard and Small Forward,1471382
59,2006-07,Maurice Ager,Right,Shooting Guard,906480
60,2007-08,Maurice Ager,Right,Shooting Guard,974400
61,2008-09,Maurice Ager,Right,Shooting Guard,1042440
62,2010-11,Maurice Ager,Right,Shooting Guard,83305
63,2008-09,Blake Ahearn,Right,Point Guard,125562
64,2008-09,Alexis Ajinca,Right,Power Forward and Center,1276320
65,2009-10,Alexis Ajinca,Right,Power Forward and Center,1372080
66,2010-11,Alexis Ajinca,Right,Power Forward and Center,1467840
67,2014-15,Alexis Ajinca,Right,Power Forward and Center,981084
68,2015-16,Alexis Ajinca,Right,Power Forward and Center,4300000
69,2016-17,Alexis Ajinca,Right,Power Forward and Center,4600000
70,2017-18,Alexis Ajinca,Right,Power Forward and Center,4961798
71,2013-14,Josh Akognon,Right,Point Guard,788872
72,2010-11,Solomon Alabi,Right,Center,770000
73,2011-12,Solomon Alabi,Right,Center,830000
74,2014-15,Furkan Aldemir,Right,Power Forward,3000000
75,2015-16,Furkan Aldemir,Right,Power Forward,3000000
76,2010-11,Cole Aldrich,Right,Center,2126520
77,2011-12,Cole Aldrich,Right,Center,2286000
78,2012-13,Cole Aldrich,Right,Center,2445480
79,2014-15,Cole Aldrich,Right,Center,981084
80,2015-16,Cole Aldrich,Right,Center,1100600
81,2016-17,Cole Aldrich,Right,Center,7643979
82,2017-18,Cole Aldrich,Right,Center,7300000
83,2006-07,LaMarcus Aldridge,Right,Power Forward and Center,4027320
84,2007-08,LaMarcus Aldridge,Right,Power Forward and Center,4329360
85,2008-09,LaMarcus Aldridge,Right,Power Forward and Center,4631400
86,2009-10,LaMarcus Aldridge,Right,Power Forward and Center,5844827
87,2010-11,LaMarcus Aldridge,Right,Power Forward and Center,11244000
88,2011-12,LaMarcus Aldridge,Right,Power Forward and Center,12372000
89,2012-13,LaMarcus Aldridge,Right,Power Forward and Center,13500000
90,2013-14,LaMarcus Aldridge,Right,Power Forward and Center,14128000
91,2014-15,LaMarcus Aldridge,Right,Power Forward and Center,16006000
92,2015-16,LaMarcus Aldridge,Right,Power Forward and Center,19500000
93,2016-17,LaMarcus Aldridge,Right,Power Forward and Center,20575005
94,2017-18,LaMarcus Aldridge,Right,Power Forward and Center,21461010
95,2015-16,Cliff Alexander,Right,Power Forward,525093
96,2016-17,Cliff Alexander,Right,Power Forward,51449
97,1999-00,Cory Alexander,Right,Shooting Guard and Point Guard,1980000
98,2000-01,Cory Alexander,Right,Shooting Guard and Point Guard,2160000
99,2001-02,Cory Alexander,Right,Shooting Guard and Point Guard,1995741
100,2002-03,Cory Alexander,Right,Shooting Guard and Point Guard,2149259
101,2003-04,Cory Alexander,Right,Shooting Guard and Point Guard,2302778
102,2000-01,Courtney Alexander,Right,Point Guard and Shooting Guard,1319400
103,2001-02,Courtney Alexander,Right,Point Guard and Shooting Guard,1418400
104,2002-03,Courtney Alexander,Right,Point Guard and Shooting Guard,1517280
105,2003-04,Courtney Alexander,Right,Point Guard and Shooting Guard,2168193
106,2004-05,Courtney Alexander,Right,Point Guard and Shooting Guard,79029
107,2008-09,Joe Alexander,Right,Small Forward,2403120
108,2009-10,Joe Alexander,Right,Small Forward,2583360
109,2010-11,Joe Alexander,Right,Small Forward,90465
110,2001-02,Victor Alexander,Right,Center,653350
111,2017-18,Jarrett Allen,Right,Center,1713720
112,1999-00,Jerome Allen,Right,Shooting Guard,510000
113,2011-12,Lavoy Allen,Right,Power Forward and Center,473604
114,2012-13,Lavoy Allen,Right,Power Forward and Center,3000000
115,2013-14,Lavoy Allen,Right,Power Forward and Center,3060000
116,2014-15,Lavoy Allen,Right,Power Forward and Center,948163
117,2015-16,Lavoy Allen,Right,Power Forward and Center,3700000
118,2016-17,Lavoy Allen,Right,Power Forward and Center,4000000
119,2001-02,Malik Allen,Right,Power Forward,332817
120,2002-03,Malik Allen,Right,Power Forward,512435
121,2003-04,Malik Allen,Right,Power Forward,1510000
122,2004-05,Malik Allen,Right,Power Forward,1950625
123,2005-06,Malik Allen,Right,Power Forward,1670000
124,2006-07,Malik Allen,Right,Power Forward,1803600
125,2007-08,Malik Allen,Right,Power Forward,998398
126,2008-09,Malik Allen,Right,Power Forward,1300000
127,2009-10,Malik Allen,Right,Power Forward,1300000
128,2010-11,Malik Allen,Right,Power Forward,1229255
129,1999-00,Ray Allen,Right,Shooting Guard,9000000
130,2000-01,Ray Allen,Right,Shooting Guard,10130000
131,2001-02,Ray Allen,Right,Shooting Guard,11250000
132,2002-03,Ray Allen,Right,Shooting Guard,12375000
133,2003-04,Ray Allen,Right,Shooting Guard,13500000
134,2004-05,Ray Allen,Right,Shooting Guard,14625000
135,2005-06,Ray Allen,Right,Shooting Guard,13223140
136,2006-07,Ray Allen,Right,Shooting Guard,14611570
137,2007-08,Ray Allen,Right,Shooting Guard,16000000
138,2008-09,Ray Allen,Right,Shooting Guard,18388430
139,2009-10,Ray Allen,Right,Shooting Guard,18776860
140,2010-11,Ray Allen,Right,Shooting Guard,10000000
141,2011-12,Ray Allen,Right,Shooting Guard,10000000
142,2012-13,Ray Allen,Right,Shooting Guard,3090000
143,2013-14,Ray Allen,Right,Shooting Guard,3229050
144,2004-05,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,901920
145,2005-06,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,969696
146,2006-07,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,1037280
147,2007-08,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,1868141
148,2008-09,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,2500000
149,2009-10,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,2500000
150,2010-11,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,3000000
151,2011-12,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,3150000
152,2012-13,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,3300000
153,2013-14,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,4494382
154,2014-15,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,4831461
155,2015-16,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,5168539
156,2016-17,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,5505618
157,2017-18,Tony Allen,Right,Shooting Guard and Small Forward and Point Guard,1471382
158,2007-08,Morris Almond,Right,Shooting Guard,1005960
159,2008-09,Morris Almond,Right,Shooting Guard,1081440
160,1999-00,Rafer Alston,Right,Point Guard,301875
161,2000-01,Rafer Alston,Right,Point Guard,423500
162,2001-02,Rafer Alston,Right,Point Guard,625000
163,2002-03,Rafer Alston,Right,Point Guard,37344
164,2003-04,Rafer Alston,Right,Point Guard,688679
165,2004-05,Rafer Alston,Right,Point Guard,3500000
166,2005-06,Rafer Alston,Right,Point Guard,3850000
167,2006-07,Rafer Alston,Right,Point Guard,4200000
168,2007-08,Rafer Alston,Right,Point Guard,4550000
169,2008-09,Rafer Alston,Right,Point Guard,4900000
170,2009-10,Rafer Alston,Right,Point Guard,4300000
171,2009-10,Rafer Alston,Right,Point Guard,753133
172,1999-00,John Amaechi,Right,Power Forward and Center,385000
173,2000-01,John Amaechi,Right,Power Forward and Center,600000
174,2001-02,John Amaechi,Right,Power Forward and Center,2175000
175,2002-03,John Amaechi,Right,Power Forward and Center,2392500
176,2003-04,John Amaechi,Right,Power Forward and Center,2610000
177,2004-05,John Amaechi,Right,Power Forward and Center,1200000
178,2010-11,Al-Farouq Aminu,Right,Power Forward and Small Forward,2563320
179,2011-12,Al-Farouq Aminu,Right,Power Forward and Small Forward,2755560
180,2012-13,Al-Farouq Aminu,Right,Power Forward and Small Forward,2947800
181,2013-14,Al-Farouq Aminu,Right,Power Forward and Small Forward,3700000
182,2014-15,Al-Farouq Aminu,Right,Power Forward and Small Forward,981084
183,2015-16,Al-Farouq Aminu,Right,Power Forward and Small Forward,7500000
184,2016-17,Al-Farouq Aminu,Right,Power Forward and Small Forward,7680965
185,2017-18,Al-Farouq Aminu,Right,Power Forward and Small Forward,7319035
186,2006-07,Lou Amundson,Right,Power Forward,105696
187,2006-07,Lou Amundson,Right,Power Forward,75000
188,2006-07,Lou Amundson,Right,Power Forward,35232
189,2007-08,Lou Amundson,Right,Power Forward,687456
190,2008-09,Lou Amundson,Right,Power Forward,797581
191,2009-10,Lou Amundson,Right,Power Forward,855189
192,2010-11,Lou Amundson,Right,Power Forward,2225000
193,2011-12,Lou Amundson,Right,Power Forward,2403000
194,2012-13,Lou Amundson,Right,Power Forward,1069509
195,2014-15,Lou Amundson,Right,Power Forward,409167
196,2015-16,Lou Amundson,Right,Power Forward,1650000
197,2016-17,Lou Amundson,Right,Power Forward,1551659
198,2001-02,Chris Andersen,Right,Power Forward and Center,288171
199,2002-03,Chris Andersen,Right,Power Forward and Center,512435
200,2003-04,Chris Andersen,Right,Power Forward and Center,638679
201,2004-05,Chris Andersen,Right,Power Forward and Center,1600000
202,2005-06,Chris Andersen,Right,Power Forward and Center,3500000
203,2008-09,Chris Andersen,Right,Power Forward and Center,998398
204,2009-10,Chris Andersen,Right,Power Forward and Center,3650000
205,2010-11,Chris Andersen,Right,Power Forward and Center,4533300
206,2011-12,Chris Andersen,Right,Power Forward and Center,4234000
207,2012-13,Chris Andersen,Right,Power Forward and Center,4526000
208,2012-13,Chris Andersen,Right,Power Forward and Center,699952
209,2013-14,Chris Andersen,Right,Power Forward and Center,1399507
210,2014-15,Chris Andersen,Right,Power Forward and Center,5375000
211,2015-16,Chris Andersen,Right,Power Forward and Center,5000000
212,2016-17,Chris Andersen,Right,Power Forward and Center,1551659
213,2009-10,David Andersen,Right,Power Forward and Center,2300000
214,2010-11,David Andersen,Right,Power Forward and Center,2500000
215,2005-06,Alan Anderson,Right,Shooting Guard and Small Forward,398762
216,2006-07,Alan Anderson,Right,Shooting Guard and Small Forward,102131
217,2012-13,Alan Anderson,Right,Shooting Guard and Small Forward,885120
218,2013-14,Alan Anderson,Right,Shooting Guard and Small Forward,947907
219,2014-15,Alan Anderson,Right,Shooting Guard and Small Forward,1276061
220,2015-16,Alan Anderson,Right,Shooting Guard and Small Forward,4000000
221,2016-17,Alan Anderson,Right,Shooting Guard and Small Forward,1315448
222,1999-00,Derek Anderson,Right,Shooting Guard and Small Forward and Point Guard,1439400
223,2000-01,Derek Anderson,Right,Shooting Guard and Small Forward and Point Guard,2250000
224,2001-02,Derek Anderson,Right,Shooting Guard and Small Forward and Point Guard,6495000
225,2002-03,Derek Anderson,Right,Shooting Guard and Small Forward and Point Guard,7144500
226,2003-04,Derek Anderson,Right,Shooting Guard and Small Forward and Point Guard,7794000
227,2004-05,Derek Anderson,Right,Shooting Guard and Small Forward and Point Guard,8443500
228,2005-06,Derek Anderson,Right,Shooting Guard and Small Forward and Point Guard,9093000
229,2005-06,Derek Anderson,Right,Shooting Guard and Small Forward and Point Guard,1670000
230,2006-07,Derek Anderson,Right,Shooting Guard and Small Forward and Point Guard,9742500
231,2006-07,Derek Anderson,Right,Shooting Guard and Small Forward and Point Guard,901397
232,2006-07,Derek Anderson,Right,Shooting Guard and Small Forward and Point Guard,400000
233,2007-08,Derek Anderson,Right,Shooting Guard and Small Forward and Point Guard,1219590
234,2010-11,James Anderson,Right,Small Forward and Shooting Guard,1361400
235,2011-12,James Anderson,Right,Small Forward and Shooting Guard,1463520
236,2012-13,James Anderson,Right,Small Forward and Shooting Guard,472427
237,2012-13,James Anderson,Right,Small Forward and Shooting Guard,145749
238,2013-14,James Anderson,Right,Small Forward and Shooting Guard,916099
239,2015-16,James Anderson,Right,Small Forward and Shooting Guard,1015421
240,2015-16,Justin Anderson,Left,Small Forward,1449000
241,2016-17,Justin Anderson,Left,Small Forward,1514160
242,2017-18,Justin Anderson,Left,Small Forward,1579440
243,1999-00,Kenny Anderson,Left,Point Guard,6680000
244,2000-01,Kenny Anderson,Left,Point Guard,7520000
245,2001-02,Kenny Anderson,Left,Point Guard,8350000
246,2002-03,Kenny Anderson,Left,Point Guard,9185000
247,2003-04,Kenny Anderson,Left,Point Guard,1070000
248,2004-05,Kenny Anderson,Left,Point Guard,1100000
249,2014-15,Kyle Anderson,Right,Small Forward,1093680
250,2015-16,Kyle Anderson,Right,Small Forward,1142879
251,2016-17,Kyle Anderson,Right,Small Forward,1192080
252,2017-18,Kyle Anderson,Right,Small Forward,2151704
253,1999-00,Nick Anderson,Right,Shooting Guard and Small Forward,5051906
254,2000-01,Nick Anderson,Right,Shooting Guard and Small Forward,3750000
255,2001-02,Nick Anderson,Right,Shooting Guard and Small Forward,5401906
256,2002-03,Nick Anderson,Right,Shooting Guard and Small Forward,6101906
257,2008-09,Ryan Anderson,Right,Power Forward,1225200
258,2009-10,Ryan Anderson,Right,Power Forward,1317120
259,2010-11,Ryan Anderson,Right,Power Forward,1409040
260,2011-12,Ryan Anderson,Right,Power Forward,2244601
261,2012-13,Ryan Anderson,Right,Power Forward,8700000
262,2013-14,Ryan Anderson,Right,Power Forward,8308500
263,2014-15,Ryan Anderson,Right,Power Forward,8491500
264,2015-16,Ryan Anderson,Right,Power Forward,8500000
265,2016-17,Ryan Anderson,Right,Power Forward,18735364
266,2017-18,Ryan Anderson,Right,Power Forward,19578455
267,1999-00,Shandon Anderson,Right,Small Forward and Shooting Guard,2000000
268,2000-01,Shandon Anderson,Right,Small Forward and Shooting Guard,2200000
269,2001-02,Shandon Anderson,Right,Small Forward and Shooting Guard,5500000
270,2002-03,Shandon Anderson,Right,Small Forward and Shooting Guard,6100000
271,2003-04,Shandon Anderson,Right,Small Forward and Shooting Guard,6700000
272,2004-05,Shandon Anderson,Right,Small Forward and Shooting Guard,7300000
273,2004-05,Shandon Anderson,Right,Small Forward and Shooting Guard,873699
274,2005-06,Shandon Anderson,Right,Small Forward and Shooting Guard,7900000
275,2005-06,Shandon Anderson,Right,Small Forward and Shooting Guard,1035000
276,2006-07,Shandon Anderson,Right,Small Forward and Shooting Guard,7244726
277,1999-00,Willie Anderson,Right,Shooting Guard and Small Forward,510000
278,2005-06,Martynas Andriuskevicius,Right,Center,398762
279,2006-07,Martynas Andriuskevicius,Right,Center,664209
280,2017-18,Ike Anigbogu,Right,Center,950000
281,1999-00,Chris Anstey,Right,Center,1113720
282,2013-14,Giannis Antetokounmpo,Right,Point Guard and Power Forward and Small Forward and Shooting Guard,1792560
283,2014-15,Giannis Antetokounmpo,Right,Point Guard and Power Forward and Small Forward and Shooting Guard,1873200
284,2015-16,Giannis Antetokounmpo,Right,Point Guard and Power Forward and Small Forward and Shooting Guard,1953960
285,2016-17,Giannis Antetokounmpo,Right,Point Guard and Power Forward and Small Forward and Shooting Guard,2995421
286,2017-18,Giannis Antetokounmpo,Right,Point Guard and Power Forward and Small Forward and Shooting Guard,22471910
287,2015-16,Thanasis Antetokounmpo,Right,Small Forward,105888
288,2003-04,Carmelo Anthony,Right,Small Forward and Power Forward,3229200
289,2004-05,Carmelo Anthony,Right,Small Forward and Power Forward,3471360
290,2005-06,Carmelo Anthony,Right,Small Forward and Power Forward,3713640
291,2006-07,Carmelo Anthony,Right,Small Forward and Power Forward,4694041
292,2007-08,Carmelo Anthony,Right,Small Forward and Power Forward,13041250
293,2008-09,Carmelo Anthony,Right,Small Forward and Power Forward,14410581
294,2009-10,Carmelo Anthony,Right,Small Forward and Power Forward,15779912
295,2010-11,Carmelo Anthony,Right,Small Forward and Power Forward,17149243
296,2011-12,Carmelo Anthony,Right,Small Forward and Power Forward,18518574
297,2012-13,Carmelo Anthony,Right,Small Forward and Power Forward,19450000
298,2013-14,Carmelo Anthony,Right,Small Forward and Power Forward,22407474
299,2014-15,Carmelo Anthony,Right,Small Forward and Power Forward,22458000
300,2015-16,Carmelo Anthony,Right,Small Forward and Power Forward,22875000
301,2016-17,Carmelo Anthony,Right,Small Forward and Power Forward,24559380
302,2017-18,Carmelo Anthony,Right,Small Forward and Power Forward,26243760
303,1999-00,Greg Anthony,Left,Point Guard,1100000
304,2000-01,Greg Anthony,Left,Point Guard,3500000
305,2001-02,Greg Anthony,Left,Point Guard,3000000
306,2002-03,Greg Anthony,Left,Point Guard,1500000
307,2007-08,Joel Anthony,Left,Power Forward and Center,427163
308,2008-09,Joel Anthony,Left,Power Forward and Center,711517
309,2009-10,Joel Anthony,Left,Power Forward and Center,825497
310,2010-11,Joel Anthony,Left,Power Forward and Center,3300000
311,2011-12,Joel Anthony,Left,Power Forward and Center,3600000
312,2012-13,Joel Anthony,Left,Power Forward and Center,3750000
313,2013-14,Joel Anthony,Left,Power Forward and Center,3800000
314,2014-15,Joel Anthony,Left,Power Forward and Center,3800000
315,2015-16,Joel Anthony,Left,Power Forward and Center,2500000
316,2016-17,Joel Anthony,Left,Power Forward and Center,663810
317,2014-15,Pero Antic,Right,Center,1250000
318,2017-18,OG Anunoby,Right,Small Forward,1645200
319,2015-16,Keith Appling,Right,Point Guard,161776
320,2004-05,Rafael Araujo,Right,Center,2082720
321,2005-06,Rafael Araujo,Right,Center,2238960
322,2006-07,Rafael Araujo,Right,Center,2395200
323,2002-03,Robert Archibald,Right,Center and Power Forward,349458
324,2003-04,Robert Archibald,Right,Center and Power Forward,563679
325,2001-02,Gilbert Arenas,Right,Point Guard,332817
326,2002-03,Gilbert Arenas,Right,Point Guard,512435
327,2003-04,Gilbert Arenas,Right,Point Guard,8536000
328,2004-05,Gilbert Arenas,Right,Point Guard,9389600
329,2005-06,Gilbert Arenas,Right,Point Guard,10243200
330,2006-07,Gilbert Arenas,Right,Point Guard,11096800
331,2007-08,Gilbert Arenas,Right,Point Guard,11950400
332,2008-09,Gilbert Arenas,Right,Point Guard,14653466
333,2009-10,Gilbert Arenas,Right,Point Guard,16192080
334,2010-11,Gilbert Arenas,Right,Point Guard,17730694
335,2011-12,Gilbert Arenas,Right,Point Guard,19269307
336,2012-13,Gilbert Arenas,Right,Point Guard,20807922
337,2004-05,Trevor Ariza,Right,Small Forward and Shooting Guard,385277
338,2005-06,Trevor Ariza,Right,Small Forward and Shooting Guard,682051
339,2006-07,Trevor Ariza,Right,Small Forward and Shooting Guard,3100000
340,2007-08,Trevor Ariza,Right,Small Forward and Shooting Guard,3100000
341,2008-09,Trevor Ariza,Right,Small Forward and Shooting Guard,3100000
342,2009-10,Trevor Ariza,Right,Small Forward and Shooting Guard,5854000
343,2010-11,Trevor Ariza,Right,Small Forward and Shooting Guard,6322320
344,2011-12,Trevor Ariza,Right,Small Forward and Shooting Guard,6790640
345,2012-13,Trevor Ariza,Right,Small Forward and Shooting Guard,7258960
346,2013-14,Trevor Ariza,Right,Small Forward and Shooting Guard,7727280
347,2014-15,Trevor Ariza,Right,Small Forward and Shooting Guard,8579089
348,2015-16,Trevor Ariza,Right,Small Forward and Shooting Guard,8193030
349,2016-17,Trevor Ariza,Right,Small Forward and Shooting Guard,7806971
350,2017-18,Trevor Ariza,Right,Small Forward and Shooting Guard,7420912
351,1999-00,B.J. Armstrong,Right,Point Guard,510000
352,2001-02,Brandon Armstrong,Left,Shooting Guard,865800
353,2002-03,Brandon Armstrong,Left,Shooting Guard,930720
354,2003-04,Brandon Armstrong,Left,Shooting Guard,995650
355,1999-00,Darrell Armstrong,Right,Point Guard,4125000
356,2000-01,Darrell Armstrong,Right,Point Guard,3100000
357,2001-02,Darrell Armstrong,Right,Point Guard,4005000
358,2002-03,Darrell Armstrong,Right,Point Guard,4010000
359,2003-04,Darrell Armstrong,Right,Point Guard,2475000
360,2004-05,Darrell Armstrong,Right,Point Guard,2275000
361,2005-06,Darrell Armstrong,Right,Point Guard,1138500
362,2006-07,Darrell Armstrong,Right,Point Guard,1178348
363,2007-08,Darrell Armstrong,Right,Point Guard,1219590
364,2006-07,Hilton Armstrong,Right,Center and Power Forward,1767600
365,2007-08,Hilton Armstrong,Right,Center and Power Forward,1900200
366,2008-09,Hilton Armstrong,Right,Center and Power Forward,2032800
367,2009-10,Hilton Armstrong,Right,Center and Power Forward,2801198
368,2010-11,Hilton Armstrong,Right,Center and Power Forward,992680
369,2001-02,Carlos Arroyo,Right,Shooting Guard and Point Guard,332817
370,2002-03,Carlos Arroyo,Right,Shooting Guard and Point Guard,546000
371,2003-04,Carlos Arroyo,Right,Shooting Guard and Point Guard,800000
372,2004-05,Carlos Arroyo,Right,Shooting Guard and Point Guard,4000000
373,2005-06,Carlos Arroyo,Right,Shooting Guard and Point Guard,4000000
374,2006-07,Carlos Arroyo,Right,Shooting Guard and Point Guard,4100000
375,2007-08,Carlos Arroyo,Right,Shooting Guard and Point Guard,4100000
376,2009-10,Carlos Arroyo,Right,Shooting Guard and Point Guard,1107572
377,2010-11,Carlos Arroyo,Right,Shooting Guard and Point Guard,1223166
378,2008-09,Darrell Arthur,Right,Small Forward and Power Forward,977160
379,2009-10,Darrell Arthur,Right,Small Forward and Power Forward,1050480
380,2010-11,Darrell Arthur,Right,Small Forward and Power Forward,1123680
381,2011-12,Darrell Arthur,Right,Small Forward and Power Forward,2027119
382,2012-13,Darrell Arthur,Right,Small Forward and Power Forward,3006217
383,2013-14,Darrell Arthur,Right,Small Forward and Power Forward,3231683
384,2014-15,Darrell Arthur,Right,Small Forward and Power Forward,3457149
385,2015-16,Darrell Arthur,Right,Small Forward and Power Forward,2814000
386,2016-17,Darrell Arthur,Right,Small Forward and Power Forward,8070175
387,2017-18,Darrell Arthur,Right,Small Forward and Power Forward,7464912
388,2010-11,Omer Asik,Right,Center,1721000
389,2011-12,Omer Asik,Right,Center,1857500
390,2012-13,Omer Asik,Right,Center,8374646
391,2013-14,Omer Asik,Right,Center,8374646
392,2014-15,Omer Asik,Right,Center,8374646
393,2015-16,Omer Asik,Right,Center,11000000
394,2016-17,Omer Asik,Right,Center,9904494
395,2017-18,Omer Asik,Right,Center,10595505
396,1999-00,Keith Askins,Right,Small Forward,1752400
397,1999-00,Chucky Atkins,Right,Point Guard and Shooting Guard,385000
398,2000-01,Chucky Atkins,Right,Point Guard and Shooting Guard,3000000
399,2001-02,Chucky Atkins,Right,Point Guard and Shooting Guard,3300000
400,2002-03,Chucky Atkins,Right,Point Guard and Shooting Guard,3600000
401,2003-04,Chucky Atkins,Right,Point Guard and Shooting Guard,3900000
402,2004-05,Chucky Atkins,Right,Point Guard and Shooting Guard,4200000
403,2005-06,Chucky Atkins,Right,Point Guard and Shooting Guard,4500000
404,2006-07,Chucky Atkins,Right,Point Guard and Shooting Guard,3000000
405,2007-08,Chucky Atkins,Right,Point Guard and Shooting Guard,3000000
406,2008-09,Chucky Atkins,Right,Point Guard and Shooting Guard,3240000
407,2009-10,Chucky Atkins,Right,Point Guard and Shooting Guard,1306455
408,2009-10,Chucky Atkins,Right,Point Guard and Shooting Guard,760000
409,1999-00,Stacey Augmon,Left,Small Forward and Shooting Guard,3450000
410,1999-00,Stacey Augmon,Left,Small Forward and Shooting Guard,510000
411,2000-01,Stacey Augmon,Left,Small Forward and Shooting Guard,923500
412,2001-02,Stacey Augmon,Left,Small Forward and Shooting Guard,2400000
413,2002-03,Stacey Augmon,Left,Small Forward and Shooting Guard,2400000
414,2003-04,Stacey Augmon,Left,Small Forward and Shooting Guard,2400000
415,2004-05,Stacey Augmon,Left,Small Forward and Shooting Guard,1100000
416,2005-06,Stacey Augmon,Left,Small Forward and Shooting Guard,1138500
417,2008-09,D.J. Augustin,Right,Point Guard,2208960
418,2009-10,D.J. Augustin,Right,Point Guard,2385480
419,2010-11,D.J. Augustin,Right,Point Guard,2540400
420,2011-12,D.J. Augustin,Right,Point Guard,3236470
421,2012-13,D.J. Augustin,Right,Point Guard,3500000
422,2013-14,D.J. Augustin,Right,Point Guard,1267000
423,2014-15,D.J. Augustin,Right,Point Guard,3000000
424,2015-16,D.J. Augustin,Right,Point Guard,3000000
425,2016-17,D.J. Augustin,Right,Point Guard,7250000
